# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2026-05-08,WP052026,-1,2026-05-08 00:00:00.000000000,0 days 00:00:00,8.4,139.9,999.0,39.0,92.0,167.0,,,176.0,,,,,,,,
2026-05-08,WP052026,-1,2026-05-08 06:00:00.000000256,0 days 06:00:00,8.72,139.52,999.3,37.7,74.46589526742625,71.79779448466165,40.847775547059456,28.1966113941602,44.613004468971475,0.8100144185162746,0.22375543334712514,0.33245032305065025,0.2781813758631312,0.0,0.0,0.0,0.0
2026-05-08,WP052026,-1,2026-05-08 12:00:00.000000000,0 days 12:00:00,8.83,138.67,999.2,40.3,68.2970245405074,90.21782882435919,58.49280180686515,39.92306288861286,60.90037792080081,2.4612576243469184,0.16760301871267308,0.1690132516080684,0.394877124133306,0.0028677348622815025,0.0022371202890892733,0.0006715532604616579,0.023561167229095584
2026-05-08,WP052026,-1,2026-05-08 17:59:59.999999744,0 days 18:00:00,9.11,137.75,999.7,38.4,68.35073689694242,74.49314639109403,46.17933511191845,29.92014705037581,47.081161716911176,1.2426322786316533,0.49686369098178756,0.32527896891959485,0.5102209809819336,0.0003981993666342642,0.0,0.0001097740927387276,0.04368644064771955
2026-05-08,WP052026,-1,2026-05-09 00:00:00.000000000,1 days 00:00:00,9.43,137.07,999.8,38.4,66.06851762125471,66.97011169370056,43.80578620655807,28.505981358199328,42.475000254092265,2.408321838995435,0.7541394028231398,0.49801219733453705,0.7324048919363532,0.0058794756845007195,0.00597258647899712,0.0035886389827904574,0.004148537879751323
2026-05-08,WP052026,-1,2026-05-09 06:00:00.000000000,1 days 06:00:00,9.83,136.42,999.9,35.8,69.25771194762805,53.39357925262206,33.98223887078574,21.047435630848632,31.75857436370173,1.524111658246214,0.46805361128315487,0.33359816376749296,0.4133439304784386,0.0,0.0,0.0,0.0
2026-05-08,WP052026,-1,2026-05-09 12:00:00.000000000,1 days 12:00:00,10.21,135.9,1000.2,37.0,66.74630122400939,52.45016773666567,34.826066407321996,21.933622665242776,31.977539557072653,2.2168821481634193,1.251503792274653,0.6966408468118961,1.1094410669238466,0.036753993807684945,0.05509127339953287,0.004893893583462805,0.007803119617010589
2026-05-08,WP052026,-1,2026-05-09 18:00:00.000000256,1 days 18:00:00,10.56,135.32,999.9,36.4,65.118749408338,51.18748513625523,33.53604016399782,21.000353700147368,32.60256188839425,3.550490568545105,2.1328692070123165,1.4353701082530135,1.908173003629487,0.07202481186255771,0.024395811146761495,0.016966703562940555,0.02963619578233153
2026-05-08,WP052026,-1,2026-05-10 00:00:00.000000000,2 days 00:00:00,10.82,134.75,1000.9,34.7,66.11538008537833,38.21178549762169,25.62636644200206,16.024447351688757,24.53448401763194,2.260762188435599,1.387625954915647,0.8869546055492342,1.1870009575880933,0.10900035519688919,0.043014505879637524,0.03314933626674144,0.0486998517654022
2026-05-08,WP052026,-1,2026-05-10 06:00:00.000000000,2 days 06:00:00,11.04,133.98,1001.8,31.8,73.69712833770718,31.478751043364536,21.34379342861921,13.812216376790694,20.407686053148414,1.2562469214147096,0.6523575277993163,0.4034636944540187,0.5692157113648624,0.03615838047060992,0.03328570376776108,0.012681529788866512,0.0290457064377975
2026-05-08,WP052026,-1,2026-05-10 12:00:00.000000000,2 days 12:00:00,11.23,133.25,1003.3,29.7,76.282807196447,21.22046468901506,14.122046451090467,9.305252682942797,13.300768815069478,0.991862922280324,0.5627233428124824,0.406283426725437,0.6108770660229266,0.16602166095244997,0.05277099587545618,0.03735150969933401,0.05560529585269165
2026-05-08,WP052026,-1,2026-05-10 18:00:00.000000000,2 days 18:00:00,11.51,132.56,1003.9,27.7,80.07294218862005,13.545460275529447,8.883695140983413,5.384679357197966,8.261037904656426,0.9695528953293173,0.541831776124829,0.4142752834036709,0.5257699608821774,0.10023585928527444,0.08618520442101286,0.07086328434455036,0.08714123803649956
2026-05-08,WP052026,-1,2026-05-11 00:00:00.000000000,3 days 00:00:00,11.84,131.93,1004.2,26.6,76.02714868972907,10.38359924322006,6.532188673658067,4.090780400911581,6.251955993697579,0.3249850129354573,0.25623460557484806,0.20308999247034368,0.2186139577741673,0.06090050944074173,0.009816127744617383,0.005172348214486724,0.010742064999671464
2026-05-08,WP052026,-1,2026-05-11 06:00:00.000000000,3 days 06:00:00,12.22,131.39,1004.4,25.5,80.85169525301409,9.665725211821007,6.119054661770861,3.800442775704533,5.666327584924632,0.29014735110274126,0.17499448679353138,0.06818157005111841,0.10566199796617778,0.0,0.0,0.0,0.0
2026-05-08,WP052026,-1,2026-05-11 11:59:59.999999744,3 days 12:00:00,12.61,131.1,1004.4,26.4,82.28736207269127,8.741498776788493,6.551968829491058,4.185592160090068,5.5416087578924635,0.7735695803875281,0.42424794908078683,0.2596319047786932,0.30823001943477957,0.12270962064025642,0.0764316797764177,0.0646888520659907,0.07171697109680074
2026-05-08,WP052026,-1,2026-05-11 18:00:00.000000000,3 days 18:00:00,13.03,130.76,1004.4,26.2,80.67582761522921,7.170454141155575,5.2448171042408,3.450135122170355,4.497064514943588,0.6284668310760501,0.547608239626397,0.4056545325189318,0.47495735669328415,0.06701171016395469,0.05753918522168862,0.04746691582334454,0.05636302973176399
