init_time,track_id,sample,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots
2026-05-14 18:00:00,70W,11,30,8.3,153.9,1007.0,25.075536
2026-05-14 18:00:00,70W,11,36,7.2,153.20000000000002,1005.0,22.937312000000002
2026-05-14 18:00:00,70W,11,42,7.7,151.5,1008.0,25.075536
2026-05-14 18:00:00,70W,12,66,6.3,150.3,1007.0,25.075536
2026-05-14 18:00:00,70W,12,72,6.4,150.1,1005.0,25.075536
2026-05-14 18:00:00,70W,12,78,7.8,148.4,1008.0,23.909232000000003
2026-05-14 18:00:00,70W,12,84,8.1,147.5,1005.0,26.047456
2026-05-14 18:00:00,70W,13,42,5.7,149.9,1007.0,20.021552
2026-05-14 18:00:00,70W,13,48,6.7,152.3,1005.0,21.965392
2026-05-14 18:00:00,70W,13,72,8.6,149.5,1006.0,20.993472
2026-05-14 18:00:00,70W,13,90,6.2,148.3,1009.0,14.967568
2026-05-14 18:00:00,70W,14,0,6.5,158.9,1007.0,21.965392
2026-05-14 18:00:00,70W,14,6,6.1000000000000005,159.9,1009.0,20.993472
2026-05-14 18:00:00,70W,14,30,7.1000000000000005,156.1,1008.0,26.047456
2026-05-14 18:00:00,70W,14,36,5.7,155.0,1006.0,21.965392
2026-05-14 18:00:00,70W,15,48,7.0,144.4,1006.0,20.021552
2026-05-14 18:00:00,70W,15,60,6.9,141.1,1005.0,19.049632000000003
2026-05-14 18:00:00,70W,15,66,5.7,139.4,1008.0,20.021552
2026-05-14 18:00:00,70W,15,72,7.0,137.0,1005.0,18.077712000000002
2026-05-14 18:00:00,70W,15,78,6.5,136.2,1008.0,20.993472
2026-05-14 18:00:00,70W,15,84,7.9,136.70000000000002,1006.0,19.049632000000003
2026-05-14 18:00:00,70W,15,90,8.4,135.3,1008.0,20.993472
2026-05-14 18:00:00,70W,15,96,9.0,135.0,1006.0,20.993472
2026-05-14 18:00:00,70W,15,102,9.200000000000001,133.3,1008.0,26.047456
2026-05-14 18:00:00,70W,15,108,9.4,132.3,1006.0,22.937312000000002
2026-05-14 18:00:00,70W,15,114,9.6,131.9,1008.0,23.909232000000003
2026-05-14 18:00:00,70W,15,120,9.8,131.4,1005.0,25.075536
2026-05-14 18:00:00,70W,15,126,9.8,130.5,1007.0,27.991296000000002
2026-05-14 18:00:00,70W,15,132,10.0,129.7,1004.0,27.019376
2026-05-14 18:00:00,70W,15,138,10.1,128.6,1005.0,34.98912
2026-05-14 18:00:00,70W,15,144,10.200000000000001,127.9,1001.0,34.0172
2026-05-14 18:00:00,70W,16,0,8.1,155.3,1007.0,27.991296000000002
2026-05-14 18:00:00,70W,16,6,9.5,153.9,1009.0,26.047456
2026-05-14 18:00:00,70W,16,12,9.200000000000001,151.8,1006.0,25.075536
2026-05-14 18:00:00,70W,17,0,8.0,158.3,1007.0,27.019376
2026-05-14 18:00:00,70W,17,12,6.2,156.0,1006.0,20.993472
2026-05-14 18:00:00,70W,17,24,7.9,157.70000000000002,1006.0,26.047456
2026-05-14 18:00:00,70W,17,36,8.4,154.4,1005.0,28.963216
