# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2026-05-10 06:00:00,WP052026,-1,2026-05-10 06:00:00,0 days 00:00:00,10.1,131.9,1004.0,25.0,101.0,,,,,,,,,,,,
2026-05-10 06:00:00,WP052026,-1,2026-05-10 12:00:00,0 days 06:00:00,10.11,131.66,1006.4,21.1,101.88178185001759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-10 06:00:00,WP052026,-1,2026-05-10 18:00:00,0 days 12:00:00,10.39,131.23,1005.7,21.3,85.49802469643728,5.9590444026537055,0.0,0.025500618566922695,0.2848461657150353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
